Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Clinton,08/05/2020,0,0.6,119,38632,0,1.5,308,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Elk,07/30/2020,1,0.9,46,29910,3.3,2.9,153.8,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Juniata,04/09/2020,8,3.9,32,24763,32.3,15.6,129.2,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Cameron,03/10/2020,0,0,0,4447,0,0,0,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Bradford,12/16/2020,78,50,2724,60323,129.3,82.9,4515.7,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Fulton,06/27/2020,0,0,18,14530,0,0,123.9,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Erie,03/03/2020,0,,0,269728,0,,0,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Dauphin,03/12/2020,0,0,0,278299,0,0,0,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Lycoming,03/09/2020,0,0,0,113299,0,0,0,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Cameron,03/13/2020,0,0,0,4447,0,0,0,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Juniata,06/06/2020,1,0.3,95,24763,4,1.2,383.6,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Fulton,07/29/2020,0,0.3,22,14530,0,2,151.4,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Forest,05/08/2020,0,0,7,7247,0,0,96.6,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Cambria,04/21/2020,1,0.9,21,130192,0.8,0.7,16.1,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Clearfield,09/19/2020,3,3.7,319,79255,3.8,4.7,402.5,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Huntingdon,08/14/2020,7,3,332,45144,15.5,6.6,735.4,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Mercer,07/03/2020,7,2.6,151,109424,6.4,2.3,138,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Pike,10/09/2020,0,1.9,610,55809,0,3.3,1093,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Washington,06/28/2020,6,6.4,222,206865,2.9,3.1,107.3,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Washington,08/06/2020,17,11.9,829,206865,8.2,5.7,400.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Chester,04/28/2020,40,53,1338,524989,7.6,10.1,254.9,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Susquehanna,08/02/2020,0,0.9,209,40328,0,2.1,518.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Bedford,03/09/2020,0,0,0,47888,0,0,0,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
McKean,09/11/2020,2,0.7,55,40625,4.9,1.8,135.4,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Blair,05/19/2020,2,1.3,41,121829,1.6,1.1,33.7,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Washington,05/05/2020,0,1,128,206865,0,0.5,61.9,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Bedford,12/25/2020,41,29.3,2845,47888,85.6,61.2,5940.9,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Fulton,10/19/2020,0,0.4,62,14530,0,2.9,426.7,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Cameron,04/29/2020,0,0,1,4447,0,0,22.5,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Wayne,05/07/2020,1,1.6,106,51361,1.9,3.1,206.4,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Elk,03/09/2020,0,0,0,29910,0,0,0,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Potter,06/12/2020,0,0.3,13,16526,0,1.7,78.7,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Crawford,04/02/2020,0,0.6,5,84629,0,0.7,5.9,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Fulton,08/14/2020,0,0.1,28,14530,0,1,192.7,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Bradford,04/17/2020,4,0.9,26,60323,6.6,1.4,43.1,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Fulton,05/23/2020,0,0.4,14,14530,0,2.9,96.4,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Perry,04/03/2020,1,0.6,5,46272,2.2,1.2,10.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Delaware,05/04/2020,68,120.6,4376,566747,12,21.3,772.1,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Philadelphia,03/02/2021,297,282.6,114250,1584064,18.7,17.8,7212.5,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Lancaster,03/29/2021,243,181.4,47664,545724,44.5,33.2,8734.1,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
